
--- Sheet: Measurements ---
                                   SENSOR CALIBRATION — EXTRINSIC MEASUREMENTS                                                             Unnamed: 1 Unnamed: 2  Unnamed: 3 Unnamed: 4                                                                                  Unnamed: 5
0                                                                            #                                                              Parameter     Symbol       Value       Unit                                                                      Notes / How to measure
1                               CAMERA — Translation (position of lens center)                                                                    NaN        NaN         NaN        NaN                                                                                         NaN
2                                                                            1              Lateral offset from car centerline\n(+ = right, – = left)      cam_x        0.17          m                    Measure from center of car body width to camera lens center (horizontal)
3                                                                            2                      Longitudinal offset from rear axle\n(+ = forward)      cam_y           2          m                          Measure along car body from rear axle center to camera lens center
4                                                                            3                              Height above ground\n(camera lens center)      cam_z        1.26          m            Measure vertically from flat ground to camera lens center (car on level surface)
5                                              CAMERA — Rotation (orientation)                                                                    NaN        NaN         NaN        NaN                                                                                         NaN
6                                                                            4                        Pitch\n(+ = nose up, – = nose down toward road)  cam_pitch          27          °               Place digital angle gauge on camera body. Negative for downward-facing mount.
7                                                                            5  Yaw\n(+ = rotated right, – = left)\nUsually 0° if bracket is straight    cam_yaw           1          °  Compare camera forward axis to car longitudinal axis. Use angle gauge or alignment string.
8                                                                            6  Roll\n(rotation around optical axis)\nUsually 0° if correctly mounted   cam_roll           0          °                 Place angle gauge sideways on camera housing. Should be ~0 for level mount.
9     CAMERA — Intrinsics (already calibrated — from fisheye_calibration.json)                                                                    NaN        NaN         NaN        NaN                                                                                         NaN
10                                                                           —                                                         Focal length X         fx     336.296         px                                                     From fisheye_calibration.json → K[0][0]
11                                                                           —                                                         Focal length Y         fy     335.481         px                                                     From fisheye_calibration.json → K[1][1]
12                                                                           —                                                      Principal point X         cx     649.672         px                                                     From fisheye_calibration.json → K[0][2]
13                                                                           —                                                      Principal point Y         cy     483.029         px                                                     From fisheye_calibration.json → K[1][2]
14                                                                           —                                                  Fisheye distortion k1         k1     0.10774          —                                                        From fisheye_calibration.json → D[0]
15                                                                           —                                                  Fisheye distortion k2         k2    -0.05289          —                                                        From fisheye_calibration.json → D[1]
16                                                                           —                                                  Fisheye distortion k3         k3     0.03419          —                                                        From fisheye_calibration.json → D[2]
17                                                                           —                                                  Fisheye distortion k4         k4    -0.00891          —                                                        From fisheye_calibration.json → D[3]
18                                                                           —                                                             Image size        W×H  1280 × 960         px                                                  From fisheye_calibration.json → image_size
