Video,Camera,TP,FP,FN
20260421_164627-TM02HRO-StabilityTests_CAM-Doc-B_rectified.mp4,CAM-Doc-B,11,2726,384
20260421_164627-TM02HRO-StabilityTests_CAM-Doc-F_rectified.mp4,CAM-Doc-F,122,2196,139
20260421_164627-TM02HRO-StabilityTests_CAM-Doc-L_rectified.mp4,CAM-Doc-L,161,1237,2042
20260421_164627-TM02HRO-StabilityTests_CAM-Doc-R_rectified.mp4,CAM-Doc-R,165,1722,69
20260421_164727-TM02HRO-StabilityTests_CAM-Doc-B_rectified.mp4,CAM-Doc-B,13,2820,407
20260421_164727-TM02HRO-StabilityTests_CAM-Doc-F_rectified.mp4,CAM-Doc-F,131,1604,87
20260421_164727-TM02HRO-StabilityTests_CAM-Doc-L_rectified.mp4,CAM-Doc-L,241,1251,2121
20260421_164727-TM02HRO-StabilityTests_CAM-Doc-R_rectified.mp4,CAM-Doc-R,213,2261,64
20260421_164827-TM02HRO-StabilityTests_CAM-Doc-B_rectified.mp4,CAM-Doc-B,13,2328,301
20260421_164827-TM02HRO-StabilityTests_CAM-Doc-F_rectified.mp4,CAM-Doc-F,141,1692,197
20260421_164827-TM02HRO-StabilityTests_CAM-Doc-L_rectified.mp4,CAM-Doc-L,98,688,1653
20260421_164827-TM02HRO-StabilityTests_CAM-Doc-R_rectified.mp4,CAM-Doc-R,101,2107,32
